"","name","key","datasetKey","publishingOrgKey","publishingCountry","protocol","lastCrawled","lastParsed","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","scientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","dateIdentified","decimalLongitude","decimalLatitude","year","month","day","eventDate","issues","modified","lastInterpreted","references","identifiers","facts","relations","geodeticDatum","class","countryCode","country","gbifID","verbatimEventDate","institutionCode","datasetName","verbatimLocality","catalogNumber","recordedBy","rights","rightsHolder","identifier","taxonID","collectionCode","identificationID","occurrenceRemarks","eventTime","informationWithheld","infraspecificEpithet","locality","prov"
"1","Melospiza melodia",891031593,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.229+0000","2014-05-29T20:14:30.493+0000","none","HUMAN_OBSERVATION",2492196,1,44,212,729,9608,2492191,2492196,"Melospiza melodia (A. Wilson, 1810)","Animalia","Chordata","Passeriformes","Emberizidae","Melospiza","Melospiza melodia","Melospiza","melodia","SPECIES","2014-01-11T14:42:49.000+0000",-123.80025,39.4897,2014,1,9,"2014-01-08T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T19:45:12.000+0000","2014-06-05T19:24:37.952+0000","http://www.inaturalist.org/observations/498813","none","none","none","WGS84","Aves","US","United States","891031593","2014-01-09","iNaturalist","iNaturalist research-grade observations","MacKerricher State Park, CA","498813","Don Loarie","Copyright Don Loarie, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Don Loarie","498813","9100","Observations","859160",NA,NA,NA,NA,NA,"gbif"
"2","Fulica americana",891034569,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:56.957+0000","2014-05-29T20:14:49.921+0000","none","HUMAN_OBSERVATION",2474393,1,44,212,1493,9342,2474376,2474393,"Fulica americana Gmelin, 1789","Animalia","Chordata","Gruiformes","Rallidae","Fulica","Fulica americana","Fulica","americana","SPECIES","2014-01-19T22:45:01.000+0000",-121.9103,39.60556,2014,1,19,"2014-01-18T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T20:44:11.000+0000","2014-06-05T19:24:49.752+0000","http://www.inaturalist.org/observations/504865","none","none","none","WGS84","Aves","US","United States","891034569","2014-01-19","iNaturalist","iNaturalist research-grade observations","Llano Seco Unit, Sacramento River NWR, Chico, California","504865","Jennifer Rycenga","Copyright Jennifer Rycenga, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Jennifer Rycenga","504865","473","Observations","873980","Second picture, with a Green-winged Teal and an American Pipit",NA,NA,NA,NA,"gbif"
"3","Heteromeles arbutifolia",891035526,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.506+0000","2014-05-29T20:14:56.053+0000","none","HUMAN_OBSERVATION",5370154,6,49,220,691,5015,3025170,5370154,"Heteromeles arbutifolia (Lindl.) M. Roemer","Plantae","Magnoliophyta","Rosales","Rosaceae","Heteromeles","Heteromeles arbutifolia","Heteromeles","arbutifolia","SPECIES","2014-01-22T00:09:33.000+0000",-122.58226,38.4005,2014,1,21,"2014-01-20T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-04-28T01:12:46.000+0000","2014-06-05T19:24:53.469+0000","http://www.inaturalist.org/observations/506895","none","none","none","WGS84","Magnoliopsida","US","United States","891035526","2014-01-21","iNaturalist","iNaturalist research-grade observations","Annadel State Park, California","506895","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","506895","53405","Observations","878772","This Toyon was seen loaded with berries in an ecotone transition between oak woodland and chaparral. This part of Annadel is one of the most pristine sectors of the State Park, with much of the terrain appearing as it might have in Native American habitation times centuries ago. ",NA,NA,NA,NA,"gbif"
"4","Coccinella septempunctata",899944092,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:59.402+0000","2014-07-08T12:28:00.101+0000","none","HUMAN_OBSERVATION",4990191,1,54,216,1470,7782,1043502,4990191,"Coccinella septempunctata Linnaeus, 1758","Animalia","Arthropoda","Coleoptera","Coccinellidae","Coccinella","Coccinella septempunctata","Coccinella","septempunctata","SPECIES","2014-01-27T14:15:04.000+0000",-123.7993,39.33115,2014,1,26,"2014-01-26T00:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-06-20T12:05:54.000+0000","2014-07-08T12:30:55.887+0000","http://www.inaturalist.org/observations/512926","none","none","none","WGS84","Insecta","US","United States","899944092","2014-01-26 4pm","iNaturalist","iNaturalist research-grade observations","russian gulch","512926","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","512926","51702","Observations","891557",NA,"00:00:00Z",NA,NA,NA,"gbif"
"5","Steatoda",891031148,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:54.975+0000","2014-05-29T20:14:26.698+0000","none","HUMAN_OBSERVATION",2157199,1,54,367,1496,9583,2157199,NA,"Steatoda Sundevall, 1833","Animalia","Arthropoda","Araneae","Theridiidae","Steatoda",NA,"Steatoda",NA,"GENUS","2014-01-10T20:34:52.000+0000",-122.79741,38.43058,2014,1,8,"2014-01-08T18:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-19T07:14:23.000+0000","2014-06-05T19:24:36.133+0000","http://www.inaturalist.org/observations/497687","none","none","none","WGS84","Arachnida","US","United States","891031148","2014-01-08 10 am","iNaturalist","iNaturalist research-grade observations","piezzi road santa rosa","497687","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","497687","61998","Observations","858058","This spider was hiding out under my kitchen counter, above my dishwasher while I was cleaning. I see these guys around my house often.","18:00:00Z",NA,NA,NA,"gbif"
"6","Falco sparverius",891779473,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:53.611+0000","2014-05-29T21:30:14.997+0000","none","HUMAN_OBSERVATION",2481022,1,44,212,7191407,5240,2480996,2481022,"Falco sparverius Linnaeus, 1758","Animalia","Chordata","Falconiformes","Falconidae","Falco","Falco sparverius","Falco","sparverius","SPECIES","2014-01-03T13:14:36.000+0000",-122.57146,38.48316,2014,1,3,"2014-01-02T23:28:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T18:46:01.000+0000","2014-06-05T20:08:47.223+0000","http://www.inaturalist.org/observations/492308","none","none","none","WGS84","Aves","US","United States","891779473","2014-01-02  1528","iNaturalist","iNaturalist research-grade observations","Hood Mt. Regional Park","492308","icosahedron","Copyright icosahedron, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","icosahedron","492308","4665","Observations","845082",NA,"23:28:00Z",NA,NA,NA,"gbif"
"7","Haemorhous",891031566,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.191+0000","2014-05-29T20:14:30.491+0000","none","HUMAN_OBSERVATION",4844128,1,44,212,NA,NA,4844128,NA,"Haemorhous Swainson, 1837","Animalia","Chordata",NA,NA,"Haemorhous",NA,"Haemorhous",NA,"GENUS","2014-01-11T15:26:12.000+0000",-123.80476,39.31038,2014,1,10,"2014-01-09T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES,TAXON_MATCH_HIGHERRANK","2014-03-08T19:45:34.000+0000","2014-06-05T19:24:37.893+0000","http://www.inaturalist.org/observations/498842","none","none","none","WGS84","Aves","US","United States","891031566","2014-01-10","iNaturalist","iNaturalist research-grade observations","Mendocino, CA","498842","Don Loarie","Copyright Don Loarie, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Don Loarie","498842","199840","Observations","859205",NA,NA,NA,NA,NA,"gbif"
"8","Euphagus cyanocephalus",891031450,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.103+0000","2014-05-29T20:14:28.762+0000","none","HUMAN_OBSERVATION",2484183,1,44,212,729,6176,2484182,2484183,"Euphagus cyanocephalus (Wagler, 1829)","Animalia","Chordata","Passeriformes","Icteridae","Euphagus","Euphagus cyanocephalus","Euphagus","cyanocephalus","SPECIES","2014-01-11T00:26:25.000+0000",-123.8058,39.45524,2014,1,9,"2014-01-08T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T19:41:43.000+0000","2014-06-05T19:24:37.300+0000","http://www.inaturalist.org/observations/498410","none","none","none","WGS84","Aves","US","United States","891031450","2014-01-09","iNaturalist","iNaturalist research-grade observations","Fort Bragg, CA","498410","Don Loarie","Copyright Don Loarie, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Don Loarie","498410","10325","Observations","858458","Beautiful colors, in the right light.",NA,NA,NA,NA,"gbif"
"9","Anas americana",891034585,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.040+0000","2014-05-29T20:14:50.662+0000","none","HUMAN_OBSERVATION",2498154,1,44,212,1108,2986,2498056,2498154,"Anas americana Gmelin, 1789","Animalia","Chordata","Anseriformes","Anatidae","Anas","Anas americana","Anas","americana","SPECIES","2014-01-19T22:48:32.000+0000",-121.9103,39.60556,2014,1,19,"2014-01-18T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T20:44:17.000+0000","2014-06-05T19:24:49.759+0000","http://www.inaturalist.org/observations/504869","none","none","none","WGS84","Aves","US","United States","891034585","2014-01-19","iNaturalist","iNaturalist research-grade observations","Llano Seco Unit, Sacramento River NWR, Chico, California","504869","Jennifer Rycenga","Copyright Jennifer Rycenga, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Jennifer Rycenga","504869","6985","Observations","873993",NA,NA,NA,NA,NA,"gbif"
"10","Ardea herodias",891779150,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:53.578+0000","2014-07-08T12:27:53.615+0000","none","HUMAN_OBSERVATION",2480935,1,44,212,7190953,3685,2480922,2480935,"Ardea herodias Linnaeus, 1758","Animalia","Chordata","Pelecaniformes","Ardeidae","Ardea","Ardea herodias","Ardea","herodias","SPECIES","2014-01-02T02:12:44.000+0000",-121.9708,38.52491,2014,1,1,"2013-12-31T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-06-23T03:11:26.000+0000","2014-07-08T12:30:47.476+0000","http://www.inaturalist.org/observations/491725","none","none","none","WGS84","Aves","US","United States","891779150","2014-01-01","iNaturalist","iNaturalist research-grade observations","Winters, CA","491725","Kim Ewart","Copyright Kim Ewart, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Kim Ewart","491725","4956","Observations","842896",NA,NA,NA,NA,NA,"gbif"
"11","Oxyura jamaicensis",891031573,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.216+0000","2014-05-29T20:14:30.673+0000","none","HUMAN_OBSERVATION",2498305,1,44,212,1108,2986,2498299,2498305,"Oxyura jamaicensis (Gmelin, 1789)","Animalia","Chordata","Anseriformes","Anatidae","Oxyura","Oxyura jamaicensis","Oxyura","jamaicensis","SPECIES","2014-01-11T15:15:41.000+0000",-123.79403,39.48798,2014,1,9,"2014-01-08T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T19:45:29.000+0000","2014-06-05T19:24:37.982+0000","http://www.inaturalist.org/observations/498832","none","none","none","WGS84","Aves","US","United States","891031573","2014-01-09","iNaturalist","iNaturalist research-grade observations","MacKerricher State Park, CA","498832","Don Loarie","Copyright Don Loarie, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Don Loarie","498832","7079","Observations","859187",NA,NA,NA,NA,NA,"gbif"
"12","Chiroptera",891032397,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.726+0000","2014-07-08T12:27:55.815+0000","none","HUMAN_OBSERVATION",734,1,44,359,734,NA,NA,NA,"Chiroptera Blumenbach, 1779","Animalia","Chordata","Chiroptera",NA,NA,NA,"Chiroptera",NA,"ORDER","2014-01-13T20:55:21.000+0000",-123.82561,40.12793,2014,1,5,"2014-01-04T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES,MODIFIED_DATE_UNLIKELY","2014-07-01T12:21:52.000+0000","2014-07-08T12:30:52.794+0000","http://www.inaturalist.org/observations/500596","none","none","none","WGS84","Mammalia","US","United States","891032397","2014-01-05","iNaturalist","iNaturalist research-grade observations","Redway, CA","500596","Kim Cabrera","Copyright Kim Cabrera, licensed under a Creative Commons cc_by_nd_name license: http://creativecommons.org/licenses/by-nd/3.0/","Kim Cabrera","500596","40268","Observations","864614","bat scats of unknown species",NA,NA,NA,NA,"gbif"
"13","Phalacrocorax auritus",891032117,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.633+0000","2014-05-29T20:14:33.392+0000","none","HUMAN_OBSERVATION",2481875,1,44,212,7192775,5268,2481854,2481875,"Phalacrocorax auritus (Lesson, 1831)","Animalia","Chordata","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax auritus","Phalacrocorax","auritus","SPECIES","2014-01-12T22:36:07.000+0000",-122.66589,38.45498,2014,1,12,"2014-01-12T21:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T19:56:10.000+0000","2014-06-05T19:24:40.018+0000","http://www.inaturalist.org/observations/500018","none","none","none","WGS84","Aves","US","United States","891032117","2014-01-12 1pm","iNaturalist","iNaturalist research-grade observations","howarth park","500018","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","500018","4265","Observations","863094","Easily about a dozen of them hanging out together.","21:00:00Z",NA,NA,NA,"gbif"
"14","Oxalis",891038347,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:59.306+0000","2014-05-29T20:15:16.510+0000","none","HUMAN_OBSERVATION",2891642,6,49,220,7224021,6697,2891642,NA,"Oxalis L.","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis",NA,"Oxalis",NA,"GENUS","2014-01-27T13:37:08.000+0000",-122.79741,38.43058,2014,1,27,"2014-01-26T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-28T02:36:49.000+0000","2014-06-05T19:25:04.900+0000","http://www.inaturalist.org/observations/512801","none","none","none","WGS84","Magnoliopsida","US","United States","891038347","2014-01-26 3pm","iNaturalist","iNaturalist research-grade observations","piezzi road santa rosa ca","512801","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","512801","47758","Observations","891479","This yellow flowering plant was growing through gravel in my front yard.","23:00:00Z",NA,NA,NA,"gbif"
"15","Turdus migratorius",891039997,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:59.942+0000","2014-05-29T20:15:27.083+0000","none","HUMAN_OBSERVATION",2490765,1,44,212,729,5290,2490714,2490765,"Turdus migratorius Linnaeus, 1766","Animalia","Chordata","Passeriformes","Turdidae","Turdus","Turdus migratorius","Turdus","migratorius","SPECIES","2014-01-30T20:03:16.000+0000",-122.68574,38.56664,2014,1,29,"2014-01-28T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T22:17:25.000+0000","2014-06-05T19:25:10.722+0000","http://www.inaturalist.org/observations/515914","none","none","none","WGS84","Aves","US","United States","891039997","2014-01-29","iNaturalist","iNaturalist research-grade observations","pepperwood preserve","515914","curiousgeorge61","Copyright curiousgeorge61, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","curiousgeorge61","515914","12727","Observations","898060",NA,NA,NA,NA,NA,"gbif"
"16","Pandion haliaetus",891779637,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:53.959+0000","2014-05-29T21:30:15.053+0000","none","HUMAN_OBSERVATION",2480726,1,44,212,7191147,4408414,2480725,2480726,"Pandion haliaetus (Linnaeus, 1758)","Animalia","Chordata","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus","Pandion","haliaetus","SPECIES","2014-01-03T22:36:36.000+0000",-122.83968,38.66678,2014,1,3,"2014-01-02T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T18:50:20.000+0000","2014-06-05T20:08:47.655+0000","http://www.inaturalist.org/observations/492789","none","none","none","WGS84","Aves","US","United States","891779637","2014-01-03","iNaturalist","iNaturalist research-grade observations","Russian River, CA","492789","Don Loarie","Copyright Don Loarie, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Don Loarie","492789","116999","Observations","845816","And dinner ...",NA,"Coordinate uncertainty increased by 10000m to protect threatened taxon",NA,NA,"gbif"
"17","Sciurus griseus",891033761,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:56.402+0000","2014-07-08T12:27:56.784+0000","none","HUMAN_OBSERVATION",5219672,1,44,359,1459,9456,2437489,5219672,"Sciurus griseus Ord, 1818","Animalia","Chordata","Rodentia","Sciuridae","Sciurus","Sciurus griseus","Sciurus","griseus","SPECIES","2014-01-17T16:37:32.000+0000",-122.68751,38.57177,2014,1,1,"2013-12-31T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES,MODIFIED_DATE_UNLIKELY","2014-07-01T12:24:14.000+0000","2014-07-08T12:30:51.684+0000","http://www.inaturalist.org/observations/503245","none","none","none","WGS84","Mammalia","US","United States","891033761","2014-01-01","iNaturalist","iNaturalist research-grade observations","pepperwood preserve","503245","curiousgeorge61","Copyright curiousgeorge61, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","curiousgeorge61","503245","46023","Observations","870472","At first I heard a strange noise and thought it was a bird call. I finally was attracted to a tree and when I looked up saw this critter who was making noises and actions which seemed to be telling me to get out of its territory. ",NA,NA,NA,NA,"gbif"
"18","Anas acuta",891034586,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:56.926+0000","2014-05-29T20:14:49.924+0000","none","HUMAN_OBSERVATION",2498112,1,44,212,1108,2986,2498056,2498112,"Anas acuta Linnaeus, 1758","Animalia","Chordata","Anseriformes","Anatidae","Anas","Anas acuta","Anas","acuta","SPECIES","2014-01-19T22:42:53.000+0000",-121.9103,39.60556,2014,1,19,"2014-01-18T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T20:44:08.000+0000","2014-06-05T19:24:49.761+0000","http://www.inaturalist.org/observations/504863","none","none","none","WGS84","Aves","US","United States","891034586","2014-01-19","iNaturalist","iNaturalist research-grade observations","Llano Seco Unit, Sacramento River NWR, Chico, California","504863","Jennifer Rycenga","Copyright Jennifer Rycenga, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Jennifer Rycenga","504863","6933","Observations","873977",NA,NA,NA,NA,NA,"gbif"
"19","Bucephala albeola",891032088,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.674+0000","2014-05-29T20:14:33.388+0000","none","HUMAN_OBSERVATION",2498329,1,44,212,1108,2986,2498324,2498329,"Bucephala albeola (Linnaeus, 1758)","Animalia","Chordata","Anseriformes","Anatidae","Bucephala","Bucephala albeola","Bucephala","albeola","SPECIES","2014-01-12T22:44:24.000+0000",-122.66589,38.45498,2014,1,12,"2014-01-12T21:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T19:56:17.000+0000","2014-06-05T19:24:39.916+0000","http://www.inaturalist.org/observations/500021","none","none","none","WGS84","Aves","US","United States","891032088","2014-01-12 1pm","iNaturalist","iNaturalist research-grade observations","howarth park","500021","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","500021","6993","Observations","863121","From a distance these little waterfowl look black and white. When you're lucky enough to get close they are just so beautiful. The black on their heads has an iridescence of pinks, purples, and greens. They love to dive and swim under water. ","21:00:00Z",NA,NA,NA,"gbif"
"20","Pellaea mucronata",891036312,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.908+0000","2014-05-29T20:15:02.525+0000","none","HUMAN_OBSERVATION",5275421,6,59,7228684,392,2367,2651710,5275421,"Pellaea mucronata (D.C. Eaton) D.C. Eaton","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pellaea","Pellaea mucronata","Pellaea","mucronata","SPECIES","2014-01-23T16:37:36.000+0000",-122.58389,38.39943,2014,1,21,"2014-01-20T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-05-01T01:30:44.000+0000","2014-06-05T19:24:56.752+0000","http://www.inaturalist.org/observations/508331","none","none","none","WGS84","Polypodiopsida","US","United States","891036312","2014-01-21","iNaturalist","iNaturalist research-grade observations","Annadel State Park, California","508331","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","508331","57236","Observations","882425","An unusually large number of this species was seen this season in Northern California, perhaps since this taxon competes well in arid climates. No, i didn't pluck this stem, but i held it down to get a good image of the iconic pointed apex which distinguishes this fern from Coffee fern. This observation was made on a steep very rocky slope.",NA,NA,NA,NA,"gbif"
"21","Polypodium californicum",891037599,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:59.011+0000","2014-05-29T20:15:11.357+0000","none","HUMAN_OBSERVATION",5274962,6,59,7228684,392,2368,2650111,5274962,"Polypodium californicum Kaulf.","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","Polypodium californicum","Polypodium","californicum","SPECIES","2014-01-25T23:11:29.000+0000",-122.58329,38.4145,2014,1,25,"2014-01-24T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-05-01T01:30:08.000+0000","2014-06-05T19:25:01.871+0000","http://www.inaturalist.org/observations/511171","none","none","none","WGS84","Polypodiopsida","US","United States","891037599","2014-01-25","iNaturalist","iNaturalist research-grade observations","Annadel State Park, California","511171","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","511171","57216","Observations","887633","A number of these ferns were seen along the Lawndale Trail at an elevation of about 400 meters. Note the double row of sori on the underneath side of the leaves. The habitat was oak woodland.",NA,NA,NA,NA,"gbif"
"22","Junco hyemalis",891039975,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:00.603+0000","2014-05-29T20:15:26.780+0000","none","HUMAN_OBSERVATION",2492010,1,44,212,729,9608,2492009,2492010,"Junco hyemalis (Linnaeus, 1758)","Animalia","Chordata","Passeriformes","Emberizidae","Junco","Junco hyemalis","Junco","hyemalis","SPECIES","2014-01-30T19:53:59.000+0000",-122.68721,38.56936,2014,1,30,"2014-01-29T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T22:17:22.000+0000","2014-06-05T19:25:10.799+0000","http://www.inaturalist.org/observations/515902","none","none","none","WGS84","Aves","US","United States","891039975","2014-01-30","iNaturalist","iNaturalist research-grade observations","pepperwood preserve","515902","curiousgeorge61","Copyright curiousgeorge61, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","curiousgeorge61","515902","10094","Observations","898027",NA,NA,NA,NA,NA,"gbif"
